Category,Subcategory,Scope,Rank,Player,Value,Context,IsActive
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",1,"Brittany",50.0%,"6/12",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",3,"Dan",35.5%,"11/31",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",3,"Rachel F",35.5%,"11/31",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",5,"Becca",33.3%,"2/6",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",5,"Emma",33.3%,"6/18",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",5,"Jennie",33.3%,"2/6",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",8,"Ryan",29.0%,"9/31",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",9,"Jack M",28.0%,"7/25",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",10,"Sam",26.3%,"5/19",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",11,"Richie",25.7%,"9/35",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",12,"Allie",25.0%,"4/16",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",12,"Cody",25.0%,"5/20",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",12,"Ian",25.0%,"5/20",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",15,"Carly",23.1%,"6/26",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",16,"Ashley",21.9%,"7/32",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",17,"Austin",21.2%,"7/33",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",18,"Tyler",20.8%,"5/24",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",18,"Steve",20.8%,"5/24",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",20,"Josh",16.7%,"5/30",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",21,"Luke",15.4%,"2/13",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",22,"Nick",15.2%,"5/33",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",23,"Michael",14.3%,"5/35",false
"% of 3rd Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",24,"Rachel M",11.5%,"3/26",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",1,"Allie",50.0%,"8/16",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",2,"Steve",45.8%,"11/24",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",3,"Emma",44.4%,"8/18",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",4,"Ryan",41.9%,"13/31",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",5,"Josh",40.0%,"12/30",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",6,"Luke",38.5%,"5/13",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",6,"Carly",38.5%,"10/26",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",8,"Becca",33.3%,"2/6",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",8,"Tyler",33.3%,"8/24",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",8,"Jennie",33.3%,"2/6",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",11,"Dan",25.8%,"8/31",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",12,"Ian",25.0%,"5/20",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",12,"Jack C",25.0%,"3/12",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",14,"Sam",21.1%,"4/19",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",15,"Rachel F",19.4%,"6/31",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",16,"Rachel M",19.2%,"5/26",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",17,"Ashley",18.8%,"6/32",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",18,"Richie",17.1%,"6/35",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",19,"Brittany",16.7%,"2/12",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",20,"Jack M",16.0%,"4/25",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",21,"Nick",15.2%,"5/33",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",22,"Michael",14.3%,"5/35",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",23,"Austin",9.1%,"3/33",false
"% of 4th Place Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",24,"Cody",5.0%,"1/20",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",1,"Michael",71.4%,"25/35",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",2,"Cody",70.0%,"14/20",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",3,"Nick",69.7%,"23/33",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",3,"Austin",69.7%,"23/33",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",5,"Rachel M",69.2%,"18/26",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",6,"Ashley",59.4%,"19/32",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",7,"Richie",57.1%,"20/35",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",8,"Jack M",56.0%,"14/25",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",9,"Sam",52.6%,"10/19",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",10,"Ian",50.0%,"10/20",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",11,"Luke",46.2%,"6/13",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",12,"Tyler",45.8%,"11/24",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",13,"Rachel F",45.2%,"14/31",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",14,"Josh",43.3%,"13/30",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",15,"Dan",38.7%,"12/31",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",16,"Carly",38.5%,"10/26",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",17,"Becca",33.3%,"2/6",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",17,"Steve",33.3%,"8/24",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",17,"Jennie",33.3%,"2/6",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",17,"Brittany",33.3%,"4/12",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",21,"Ryan",29.0%,"9/31",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",22,"Allie",25.0%,"4/16",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",22,"Jack C",25.0%,"3/12",false
"% of Top Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",24,"Emma",22.2%,"4/18",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",1,"Emma",77.8%,"14/18",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",2,"Allie",75.0%,"12/16",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",2,"Jack C",75.0%,"9/12",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",4,"Ryan",71.0%,"22/31",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",5,"Becca",66.7%,"4/6",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",5,"Steve",66.7%,"16/24",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",5,"Jennie",66.7%,"4/6",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",5,"Brittany",66.7%,"8/12",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",9,"Carly",61.5%,"16/26",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",10,"Dan",61.3%,"19/31",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",11,"Josh",56.7%,"17/30",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",12,"Rachel F",54.8%,"17/31",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",13,"Tyler",54.2%,"13/24",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",14,"Luke",53.8%,"7/13",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",15,"Ian",50.0%,"10/20",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",16,"Sam",47.4%,"9/19",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",17,"Jack M",44.0%,"11/25",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",18,"Richie",42.9%,"15/35",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",19,"Ashley",40.6%,"13/32",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",20,"Rachel M",30.8%,"8/26",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",21,"Nick",30.3%,"10/33",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",21,"Austin",30.3%,"10/33",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",23,"Cody",30.0%,"6/20",false
"% of Bottom Half Finishes (Min 5 Games)","Placement Rates","All-Time (Reg and Post Season)",24,"Michael",28.6%,"10/35",false
"Points Leaders","Totals","All-Time (Reg and Post Season)",1,"Michael",72,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",2,"Austin",67,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",3,"Nick",64,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",4,"Richie",61,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",5,"Ashley",53,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",6,"Rachel F",48,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",7,"Rachel M",47,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",8,"Dan",40,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",8,"Jack M",40,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",8,"Cody",40,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",11,"Josh",38,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",12,"Carly",33,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",13,"Ian",32,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",14,"Ryan",31,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",14,"Sam",31,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",16,"Tyler",28,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",17,"Steve",22,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",18,"Luke",18,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",19,"Brittany",16,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",20,"Emma",14,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",21,"Jack C",13,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",22,"Allie",12,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",23,"Jennie",7,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",24,"Becca",6,,false
"Points Leaders","Totals","All-Time (Reg and Post Season)",25,"Brian",3,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",1,"Michael",17,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",2,"Austin",14,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",3,"Nick",13,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",4,"Richie",12,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",5,"Rachel F",9,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",6,"Ashley",8,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",6,"Rachel M",8,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",8,"Josh",7,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",8,"Carly",7,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",8,"Cody",7,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",8,"Ian",7,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",12,"Sam",6,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",13,"Dan",5,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",13,"Jack M",5,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",15,"Ryan",4,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",15,"Luke",4,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",17,"Brittany",2,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",18,"Brian",1,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",18,"Tyler",1,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",18,"Steve",1,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",18,"Jennie",1,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",18,"Jack C",1,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",23,"Becca",0,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",23,"Allie",0,,false
"Most 1st Places","Totals","All-Time (Reg and Post Season)",23,"Emma",0,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",1,"Ashley",11,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",2,"Nick",10,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",2,"Tyler",10,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",2,"Rachel M",10,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",5,"Austin",9,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",5,"Jack M",9,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",7,"Richie",8,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",7,"Michael",8,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",9,"Dan",7,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",9,"Steve",7,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",9,"Cody",7,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",12,"Josh",6,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",13,"Ryan",5,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",13,"Rachel F",5,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",15,"Allie",4,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",15,"Emma",4,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",15,"Sam",4,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",18,"Carly",3,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",18,"Ian",3,,false
"Most 2nd Places","Totals","All-Time (Reg and Post Season)",20,"Luke",2,,false
